ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	ulivo	ambizione	24	M	DX	l	960	ambizione	ambizione	5	ulivo	8,7	0,248509	3,7	495	2,694605199	54	1,73239376	0,00441	ambizione	1	0,751491	0,248509	1	ambizioneulivo	5	9	4	1
1	A	pentola	mente	24	M	DX	l	1317	mente	mente	4,6	pentola	8,6	0,136738	4	17014	4,230806428	492	2,691965103	0,16522	mente	1	0,863262	0,136738	1	mentepentola	7	5	2	1
1	A	immorale	attrezzo	24	M	DX	a	1031	immorale	immorale	2,95	attrezzo	7,75	0,009614	4,8	294	2,46834733	328	2,515873844	0,00034	immorale	1	0,990386	0,009614	1	immoraleattrezzo	8	8	0	1
1	A	puzza	stufa	24	M	DX	a	2403	puzza	puzza	5,15	stufa	8,4	0,360545	3,25	3336	3,523226042	1196	3,07773118	0,0214	puzza	1	0,639455	0,360545	1	puzzastufa	5	5	0	1
1	A	paralisi	sedia	24	M	DX	a	2008	paralisi	paralisi	5,8	sedia	8,45	0,185829	2,65	351	2,545307116	4290	3,632457292	0,03939	paralisi	1	0,814171	0,185829	1	paralisisedia	8	5	3	1
1	A	idiota	scimmia	24	M	DX	a	2387	idiota	idiota	5,05	scimmia	8,4	0,281823	3,35	12270	4,088844563	1961	3,292477594	0,10309	idiota	1	0,718177	0,281823	1	idiotascimmia	6	7	1	1
1	A	pugnale	fortuito	24	M	DX	l	2140	fortuito	fortuito	3,8	pugnale	8,05	0,091214	4,25	54	1,73239376	859	2,933993164	0,00805	fortuito	1	0,908786	0,091214	1	fortuitopugnale	7	8	1	1
1	A	dentista	fiducioso	24	M	DX	l	1323	fiducioso	fiducioso	3,35	dentista	8,15	0,069711	4,8	209	2,320146286	1130	3,053078443	0,00921	fiducioso	1	0,930289	0,069711	1	fiduciosodentista	8	9	1	1
1	A	carcere	pena	24	M	DX	l	1454	pena	pena	3,7	carcere	7,85	0,375169	4,15	8036	3,905039928	2485	3,395326393	0,05551	pena	1	0,624831	0,375169	1	penacarcere	7	4	3	1
1	A	precipizio	orrore	24	M	DX	l	1371	orrore	orrore	3,9	precipizio	7,3	0,329961	3,4	889	2,948901761	206	2,31386722	0,00683	orrore	1	0,670039	0,329961	1	orroreprecipizio	10	6	4	1
1	A	intelletto	idrante	24	M	DX	a	1241	intelletto	intelletto	3,95	idrante	7,1	0,007992	3,15	183	2,26245109	147	2,167317335	0,00036	intelletto	1	0,992008	0,007992	1	intellettoidrante	10	7	3	1
1	A	libreria	spazio	24	M	DX	l	1902	spazio	spazio	4,75	libreria	8,6	0,154109	3,85	7786	3,891314399	670	2,826074803	0,07116	spazio	1	0,845891	0,154109	1	spaziolibreria	8	6	2	1
1	A	maglia	vincere	24	M	DX	l	2470	vincere	vincere	5,15	maglia	8,8	0,306895	3,65	5972	3,776119799	1020	3,008600172	0,04952	vincere	1	0,693105	0,306895	1	vinceremaglia	6	7	1	1
1	A	poesia	penna	24	M	DX	a	2812	poesia	poesia	5,85	penna	8,45	0,341412	2,6	1829	3,262213705	2134	3,329194415	0,00305	poesia	1	0,658588	0,341412	1	poesiapenna	6	5	1	1
1	A	paletta	collisione	24	M	DX	l	1751	collisione	collisione	5,45	paletta	8,7	0,222282	3,25	311	2,492760389	169	2,227886705	0,00142	collisione	1	0,777718	0,222282	1	collisionepaletta	7	10	3	1
1	A	tromba	potenza	24	M	DX	l	2557	potenza	potenza	3,6	tromba	8,2	0,062084	4,6	2112	3,324693914	517	2,713490543	0,01595	potenza	1	0,937916	0,062084	1	potenzatromba	6	7	1	1
1	A	dormire	paradiso	24	M	DX	l	1637	paradiso	paradiso	3,25	dormire	5,9	0,160419	2,65	3913	3,592509848	13419	4,127720153	0,09506	paradiso	1	0,839581	0,160419	1	paradisodormire	7	8	1	1
